,Video Link,Video Title,Views,Uploaded Date,Likes on Video,Dislikes on Video
154,https://www.youtube.com/watch?v=lFdEZPWTquU,"Top 6 Best Smartphones🔥 Under Rs 20,000 in India | Value For Money Phones💪","330,956 views",24 Jun 2020,19K,838
155,https://www.youtube.com/watch?v=bLshNdVPGGc,"Top 6 Best BUDGET Smartphones📱 Under Rs.10,000 In India🔥 [JUNE 2020]","222,156 views",10 Jun 2020,14K,604
156,https://www.youtube.com/watch?v=xbRFrsHyXY4,Top 5 Budget Smartphones 2020 - Under $500!,"56,802 views",13 Jun 2020,1.4K,93
157,https://www.youtube.com/watch?v=eq1-rQ9wYI8,"TOP 5 UPCOMING PHONES under 20,000 in AUGUST 2020","24,940 views",21 Jul 2020,2.6K,107
158,https://www.youtube.com/watch?v=FXqoPVC72xs,I bought the cheapest smartphones ever.,"4,992,443 views",19 Apr 2020,150K,5K
159,https://www.youtube.com/watch?v=28HH-ufdeqc,Top 10+ Best Upcoming Smartphones Launches⚡⚡ August 2020 India 🔥🔥,"76,638 views",20 Jul 2020,3.6K,173
160,https://www.youtube.com/watch?v=ccj9Bs_jNUY,Best Android Phones - Summer 2020,"85,504 views",13 May 2020,1.1K,85
161,https://www.youtube.com/watch?v=M53_8laVluw,"Best Smartphones Under ₹15000⚡⚡⚡July 2020 | 90Hz vs Super Amoled | Samsung, Redmi, Poco, Realme","67,657 views",24 Jul 2020,5.7K,289
162,https://www.youtube.com/watch?v=BPEP0HphcGs,Top Upcoming Smartphones - July 2020,"30,772 views",27 Jun 2020,941,27
163,https://www.youtube.com/watch?v=2jaHqwnbBN4,Top 5 BEST Smartphones of 2020.... So Far,"358,592 views",7 Jun 2020,9.2K,648
164,https://www.youtube.com/watch?v=qVILJPiGGDM,TOP 5 MOBILE PHONES UNDER 5000 BUDGET ⚡⚡⚡ 2019,"1,265,642 views",19 Apr 2019,46K,2.5K
165,https://www.youtube.com/watch?v=33Fl57fb7oY,Top 5 Best Smartphones Under ₹20000 Budget ⚡⚡⚡July 2020,"728,404 views",10 Jul 2020,43K,2K
